REGIÓN,COMUNA,BIENESTAR,ECONOMÍA,EDUCACIÓN,IDC_2020,RANKING,RANGOS,Población_2017,Población_2002,Población_1992,Macroregioes
O'HIGGINS,DOÑIHUE,878.7,80.9,685.1,365.2000000000001,165,Medio bajo,20887.0,16968.0,14571.0,Zona Central
RM,EL BOSQUE,916.2,140.9,722.6,453.5,80,Medio,162505.0,175212.0,169713.0,Zona Central
BIOBÍO-ÑUBLE,EL CARMEN,476.4,52.400000000000006,601.0,246.7,315,Bajo,12044.0,12780.0,14071.0,Zona Sur
RM,EL MONTE,864.9,85.4,590.9,352.2,188,Medio bajo,35923.0,26577.0,21775.0,Zona Central
VALPARAÍSO,EL QUISCO,899.5999999999999,85.1,630.8000000000001,364.1,168,Medio bajo,15955.0,9092.0,5728.0,Zona Central
VALPARAÍSO,EL TABO,711.6,98.3,594.0,346.4,201,Medio bajo,13286.0,6781.0,4190.0,Zona Central
MAULE,EMPEDRADO,660.5999999999999,47.6,575.8,262.7,298,Bajo,4142.0,4203.0,4494.0,Zona Central
ARAUCANÍA,ERCILLA,492.0,32.800000000000004,585.2,211.5,330,Bajo,7733.0,9131.0,8739.0,Zona Sur
RM,ESTACIÓN CENTRAL,907.1,227.7,719.7,529.8000000000001,44,Medio alto,147041.0,126066.0,138314.0,Zona Central
BIOBÍO,FLORIDA,508.7000000000001,52.900000000000006,587.3000000000001,250.9,310,Bajo,10624.0,10889.0,10379.0,Zona Sur
ARAUCANÍA,FREIRE,479.2,53.5,617.1999999999999,251.1,308,Bajo,24606.0,25163.0,22984.0,Zona Sur
ATACAMA,FREIRINA,711.0999999999999,56.8,542.6,279.9,281,Bajo,7041.0,5809.0,5222.0,Zona Norte Chico
LOS LAGOS,FRESIA,649.1,61.3,608.8,289.4,271,Medio bajo,12261.0,12620.0,12969.0,Zona Sur
LOS LAGOS,FRUTILLAR,800.2,125.9,736.1999999999999,420.1,106,Medio,18428.0,15135.0,12916.0,Zona Sur
LOS LAGOS,FUTALEUFÚ,744.0,207.7,615.4,456.5,78,Medio,2623.0,1822.0,1737.0,Zona Sur
LOS RÍOS,FUTRONO,672.2,67.8,655.1,310.2,244,Medio bajo,14665.0,14899.0,13755.0,Zona Sur
ARAUCANÍA,GALVARINO,314.0,39.8,574.2,192.8,337,Bajo,11996.0,12635.0,14102.0,Zona Sur
ARICA Y PARINACOTA,GENERAL LAGOS,265.6,22.0,512.7,144.3,342,Bajo,684.0,879.0,890.0,Zona Norte Grande
ARAUCANÍA,GORBEA,745.8000000000001,85.3,586.0,334.1,212,Medio bajo,14414.0,15215.0,14655.0,Zona Sur
O'HIGGINS,GRANEROS,905.6,136.3,592.1999999999999,418.1,110,Medio,33437.0,25734.0,22161.0,Zona Central
AYSÉN,GUAITECAS,852.4000000000001,120.4,650.5,405.7,123,Medio,1843.0,1429.0,1243.0,Zona Austral
VALPARAÍSO,HIJUELAS,812.4,93.4,618.1999999999999,360.7000000000001,173,Medio bajo,17988.0,15955.0,13899.0,Zona Central
LOS LAGOS,HUALAIHUÉ,482.2000000000001,70.8,654.2,281.6,279,Bajo,8944.0,8210.0,7872.0,Zona Sur
MAULE,HUALAÑÉ,702.8,62.5,651.2,305.8,251,Medio bajo,9657.0,9720.0,9315.0,Zona Central
BIOBÍO,HUALPÉN,919.1,129.8,754.5,448.1,82,Medio,91773.0,85444.0,90630.0,Zona Sur
BIOBÍO,HUALQUI,798.9000000000001,126.5,650.2,403.5,125,Medio,24333.0,18887.0,16277.0,Zona Sur
TARAPACÁ,HUARA,583.0,41.6,528.4,234.0,321,Bajo,2730.0,2522.0,1931.0,Zona Norte Grande
ATACAMA,HUASCO,837.8,75.5,586.6,333.5,214,Medio bajo,10149.0,7952.0,7311.0,Zona Norte Chico
RM,HUECHURABA,928.7,267.0,719.5,563.0,22,Medio alto,98671.0,73941.0,61169.0,Zona Central
COQUIMBO,ILLAPEL,803.6,85.9,671.6999999999999,359.3,178,Medio bajo,30848.0,30397.0,29069.0,Zona Norte Chico
RM,INDEPENDENCIA,914.6,230.8,747.1,540.3,36,Medio alto,100281.0,64513.0,75856.0,Zona Central
TARAPACÁ,IQUIQUE,895.7,321.79999999999995,746.9,599.3000000000001,12,Medio alto,191468.0,168397.0,144447.0,Zona Norte Grande
RM,ISLA DE MAIPO,831.3000000000001,90.7,636.6,363.4,169,Medio bajo,36219.0,25638.0,20156.0,Zona Central
VALPARAÍSO,ISLA DE PASCUA,715.3000000000001,65.5,633.8000000000001,309.7,245,Medio bajo,7750.0,3765.0,2767.0,Zona Central
VALPARAÍSO,JUAN FERNÁNDEZ,907.1,75.5,685.5,360.8,172,Medio bajo,926.0,621.0,503.0,Zona Central
VALPARAÍSO,LA CALERA,868.1999999999999,169.1,736.3,476.4,71,Medio,50554.0,49358.0,45849.0,Zona Central
RM,LA CISTERNA,878.1,243.6,779.8000000000001,550.5,30,Medio alto,90119.0,85030.0,96417.0,Zona Central
VALPARAÍSO,LA CRUZ,899.5999999999999,166.9,596.0,447.3,83,Medio,22098.0,12788.0,10731.0,Zona Central
